"Date_time","BELISARIO","CARAPUNGO","CENTRO","COTOCOLLAO","EL_CAMAL","GUAMANI","LOS_CHILLOS"
"2012-12-09 00:00:00.0",32.04,22.28,27.52,26.28,33.37,15.69,23.07
"2012-12-09 01:00:00.0",28.17,10.21,23.98,15.24,42.79,6.45,18.36
"2012-12-09 02:00:00.0",14.98,8.97,33.13,12.58,30.58,15.19,13.71
"2012-12-09 03:00:00.0",17.97,9.04,25.66,5.34,24.79,29.67,18.43
"2012-12-09 04:00:00.0",14.08,10.53,24.31,13.62,23.39,25.56,20.06
"2012-12-09 05:00:00.0",15.74,13.3,20.58,15.9,26.24,24.56,9.09
"2012-12-09 06:00:00.0",28.94,27.15,36.16,15.49,37.39,24.45,18.23
"2012-12-09 07:00:00.0",21.8,27.4,31.73,30.42,37,18.08,22.22
"2012-12-09 08:00:00.0",14.52,13.63,13.03,15.44,24.01,7.95,23.15
"2012-12-09 09:00:00.0",17.14,8.88,14.02,16.74,14.41,9.08,24.28
"2012-12-09 10:00:00.0",18.47,8.58,10.86,16.33,17.85,18.63,20.65
"2012-12-09 11:00:00.0",15.55,7.93,10,8.57,22.52,21.08,33.65
"2012-12-09 12:00:00.0",14.94,7.14,8.33,5.69,18.65,14.52,9.73
"2012-12-09 13:00:00.0",11.32,6.69,6.79,6.84,12.95,6.56,4.68
"2012-12-09 14:00:00.0",9.09,6.06,7.88,8.61,7.94,6.21,4.59
"2012-12-09 15:00:00.0",11.02,6.54,9.71,7.27,9.61,5.35,3.71
"2012-12-09 16:00:00.0",10.86,8.49,14.5,9.77,17.69,7.08,5.16
"2012-12-09 17:00:00.0",16.25,9.11,20.3,8.97,24.54,11.21,5.63
"2012-12-09 18:00:00.0",21.95,12,22.4,11.12,30.99,21.24,5.09
"2012-12-09 19:00:00.0",22.36,15.74,20.66,22.12,31.8,33.3,12.86
"2012-12-09 20:00:00.0",17.25,14.29,18.29,22.56,31.11,20.62,18.81
"2012-12-09 21:00:00.0",24.49,23.19,16.44,28.56,32.75,22.75,19.88
"2012-12-09 22:00:00.0",27.24,18.94,25.6,15.56,29.84,22.49,23.8
"2012-12-09 23:00:00.0",20.81,11.57,21.04,12.58,26.29,16.17,24.17
"2012-12-10 00:00:00.0",13.32,11.93,13.38,11.74,12.74,8.79,21.44
"2012-12-10 01:00:00.0",18.36,8.6,14.5,6.41,21.58,3.6,20.45
"2012-12-10 02:00:00.0",14.88,10.4,10.99,7.99,16.28,5.51,20.75
"2012-12-10 03:00:00.0",11.93,10.56,20.83,6.79,18.33,4.35,16.89
"2012-12-10 04:00:00.0",15.42,13.48,21.85,15.71,19.33,15.05,15.8
"2012-12-10 05:00:00.0",25.53,25.74,32.21,30.14,32.33,21.22,19.27
"2012-12-10 06:00:00.0",31.2,32.16,41.75,34.74,43.56,24.92,23.03
"2012-12-10 07:00:00.0",37.08,29.61,50.8,32.81,53.16,16.66,19.47
